Daily Boat Cost,,,,,,,,,,,,,,,Daily Boat Cost,,,,,,,,,,,,,,,,,
,, , , ,,,,,,,,,,,,, , , ,,,,,,,,,,,,,
 Month:,,25 Nov - 24 Dec 2025,,,,Mob / Demob Cost:,0,,,,1 Year Contract,,,, Month:,,25 Nov - 24 Dec 2025,,,,Mob / Demob Cost:,0,,,,1 Year Contract,,,,,,
 Boat Name:,,,,,,Charter Rate per Day:,0,,,,,,,, Boat Name:,,0,,,,Charter Rate per Day:,0,,,,,,,,,,
 Boat Owner:,,PT. PERTAMINA TRANS KONTINENTAL,,,,,,,,,365,,,, Boat Owner:,,PT. PERTAMINA TRANS KONTINENTAL,,,,,,,,,365,,,,,,
DATE,DAY,STEAMING TIME,STANDBY TIME,DOWN TIME,"TOTAL HOURS
PER DAY","24 HOUR FUEL
CONSUMPTION LTR",FUEL COST PER DAY,"TOTAL DAILY
COST PER DAY","FUEL
PRICE / LITER","CHARTER
RATE / DAY","PRORATED
MOB/DEMOB","LOAD / DISCH.
IN PORT",TIME AT RIG/PF,,DATE,DAY,STEAMING TIME,STANDBY TIME,DOWN TIME,"TOTAL HOURS
PER DAY","24 HOUR FUEL
CONSUMPTION LTR",FUEL COST PER DAY,"TOTAL DAILY
COST PER DAY","FUEL
PRICE / LITER","CHARTER
RATE / DAY","PRORATED
MOB/DEMOB","LOAD / DISCH.
IN PORT",TIME AT RIG/PF,,Daily Rate,Exchange Rate USD to IDR,Pertamina Fuel Price
2025-11-25 00:00:00,,,,,0,,0,0,1.033335466120673,0,0,,,,2025-11-25 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15629,16150
2025-11-26 00:00:00,,,,,0,,0,0,1.033335466120673,0,0,,,,2025-11-26 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15629,16150
2025-11-27 00:00:00,,,,,0,,0,0,1.033335466120673,0,0,,,,2025-11-27 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15629,16150
2025-11-28 00:00:00,,,,,0,,0,0,1.026765846525526,0,0,,,,2025-11-28 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15729,16150
2025-11-29 00:00:00,,,,,0,,0,0,1.024746192893401,0,0,,,,2025-11-29 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15760,16150
2025-11-30 00:00:00,,,,,0,,0,0,1.0265700483091786,0,0,,,,2025-11-30 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15732,16150
2025-12-01 00:00:00,,,,,0,,0,0,1.0283349251830627,0,0,,,,2025-12-01 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15705,16150
2025-12-02 00:00:00,,,,,0,,0,0,1.0271576671118743,0,0,,,,2025-12-02 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15723,16150
2025-12-03 00:00:00,,,,,0,,0,0,1.0271576671118743,0,0,,,,2025-12-03 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15723,16150
2025-12-04 00:00:00,,,,,0,,0,0,1.0271576671118743,0,0,,,,2025-12-04 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15723,16150
2025-12-05 00:00:00,,,,,0,,0,0,1.0253317249698433,0,0,,,,2025-12-05 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15751,16150
2025-12-06 00:00:00,,,,,0,,0,0,1.0243562095648864,0,0,,,,2025-12-06 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15766,16150
2025-12-07 00:00:00,,,,,0,,0,0,1.019570707070707,0,0,,,,2025-12-07 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15840,16150
2025-12-08 00:00:00,,,,,0,,0,0,1.0242912411999747,0,0,,,,2025-12-08 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15767,16150
2025-12-09 00:00:00,,,,,0,,0,0,1.0305660136557973,0,0,,,,2025-12-09 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15671,16150
2025-12-10 00:00:00,,,,,0,,0,0,1.0305660136557973,0,0,,,,2025-12-10 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15671,16150
2025-12-11 00:00:00,,,,,0,,0,0,1.0305660136557973,0,0,,,,2025-12-11 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15671,16150
2025-12-12 00:00:00,,,,,0,,0,0,1.0301715889519678,0,0,,,,2025-12-12 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15677,16150
2025-12-13 00:00:00,,,,,0,,0,0,1.0240314501299854,0,0,,,,2025-12-13 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15771,16150
2025-12-14 00:00:00,,,,,0,,0,0,1.023317703713091,0,0,,,,2025-12-14 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15782,16150
2025-12-15 00:00:00,,,,,0,,0,0,1.0174510174510174,0,0,,,,2025-12-15 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15873,16150
2025-12-16 00:00:00,,,,,0,,0,0,1.0164904330312186,0,0,,,,2025-12-16 00:00:00,0,0,0,0,0,0,0,0,16150,0,0,0,,,0,15888,16150
2025-12-17 00:00:00,,,,,0,,0,0,1.0164904330312186,0,0,,,,2025-12-17 00:00:00,0,0,0,0,0,0,0,0,16150,0,0,0,,,0,15888,16150
2025-12-18 00:00:00,,,,,0,,0,0,1.0164904330312186,0,0,,,,2025-12-18 00:00:00,0,0,0,0,0,0,0,0,16150,0,0,0,,,0,15888,16150
2025-12-19 00:00:00,,,,,0,,0,0,1.0190560323069158,0,0,,,,2025-12-19 00:00:00,0,0,0,0,0,0,0,0,16150,0,0,0,,,0,15848,16150
2025-12-20 00:00:00,,,,,0,,0,0,1.0211178553363682,0,0,,,,2025-12-20 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15816,16150
2025-12-21 00:00:00,,,,,0,,0,0,1.0184134190944634,0,0,,,,2025-12-21 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15858,16150
2025-12-22 00:00:00,,,,,0,,0,0,1.01304729644963,0,0,,,,2025-12-22 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15942,16150
2025-12-23 00:00:00,,,,,0,,0,0,1.0150210546163032,0,0,,,,2025-12-23 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15911,16150
2025-12-24 00:00:00,,,,,0,,0,0,1.0150210546163032,0,0,,,,2025-12-24 00:00:00,,,,,0,,0,0,16150,0,0,,,,0,15911,16150
-,,,,,0,,0,0,1.0150210546163032,0,0,,,,-,,,,,0,,0,0,16150,0,0,,,,0,15911,16150
TOTAL,,0,0,0,0,0,0,0,,0,0,0,0,,TOTAL,,0,0,0,0,0,0,0,,0,0,0,0,,0,,
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,0,Downtime Rp,,,,,,,,,,,,,,0,Downtime Rp,,,,,,
,,,,0,hours,,,,,,,,,,,,,,0,hours,,,,,,,,,,,,
Active Hours,,0,,,,,,,,,,,,,Active Hours,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Daily Boat Cost,,,,,,,,,,,,,,,,,
,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Month:,,25 Nov - 24 Dec 2025,,,,Mob / Demob Cost:,0,,,,1 Year Contract,,,,,, , , ,,,,,,,,,,,,,
 Boat Name:,,0,,,,Charter Rate per Day:,31070000,,,,,,,, Month:,,25 Nov - 24 Dec 2025,,,,Mob / Demob Cost:,0,,,,1 Year Contract,,,,,,
 Boat Owner:,,PT. PERTAMINA TRANS KONTINENTAL,,,,,,,,,365,,,, Boat Name:,,0,,,,Charter Rate per Day:,0,,,,,,,,,,
DATE,DAY,STEAMING TIME,STANDBY TIME,DOWN TIME,"TOTAL HOURS
PER DAY","24 HOUR FUEL
CONSUMPTION LTR",FUEL COST PER DAY,"TOTAL DAILY
COST PER DAY","FUEL
PRICE / LITER","CHARTER
RATE / DAY","PRORATED
MOB/DEMOB","LOAD / DISCH.
IN PORT",TIME AT RIG/PF,, Boat Owner:,,PT. PERTAMINA TRANS KONTINENTAL,,,,,,,,,365,,,,,,
2025-11-25 00:00:00,,,,,0,,0,0,7800,0,0,,,,DATE,DAY,STEAMING TIME,STANDBY TIME,DOWN TIME,"TOTAL HOURS
PER DAY","24 HOUR FUEL
CONSUMPTION LTR",FUEL COST PER DAY,"TOTAL DAILY
COST PER DAY",7800,"CHARTER
RATE / DAY","PRORATED
MOB/DEMOB","LOAD / DISCH.
IN PORT",TIME AT RIG/PF,,,,
2025-11-26 00:00:00,,,,,0,,0,0,7800,0,0,,,,2025-11-25 00:00:00,1,0,0,0,0,0,0,0,7800,0,0,0,0,,,,
2025-11-27 00:00:00,,,,,0,,0,0,7800,0,0,,,,2025-11-26 00:00:00,1,0,0,0,0,0,0,0,7800,0,0,0,0,,,,
2025-11-28 00:00:00,,,,,0,,0,0,7800,0,0,,,,00:00:00,1,0,0,0,0,0,0,0,7800,0,0,0,0,,,,
2025-11-29 00:00:00,,,,,0,,0,0,7800,0,0,,,,00:00:00,1,0,0,0,0,0,0,0,7800,0,0,0,0,,,,
2025-11-30 00:00:00,,,,,0,,0,0,7800,0,0,,,,00:00:00,1,0,0,0,0,0,0,0,7800,0,0,0,0,,,,
2025-12-01 00:00:00,,,,,0,,0,0,7800,0,0,,,,00:00:00,1,0,0,0,0,0,0,0,7800,0,0,0,0,,,,
2025-12-02 00:00:00,,,,,0,,0,0,7800,0,0,,,,00:00:00,1,0,0,0,0,0,0,0,7800,0,0,0,0,,,,
2025-12-03 00:00:00,,,,,0,,0,0,7800,0,0,,,,00:00:00,1,0,0,0,0,0,0,0,7800,0,0,0,0,,,,
