,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,
,,RUN EXPLOSIVE,,,ASSET,,,TIRTA RAJAWALI,,,S: SLICKLINE UNIT,,,N: SLICKLINE (1),,,LAIN-LAIN,,,SOIL BORING,,,"N: SLICKLINE
(2)",,,DEBRIS SURVEY,,,"STORK
(WLI)",,,-,,,-,,,-,,,,,,,RUN EXPLOSIVE,,,ASSET,,,TIRTA RAJAWALI,,,S: SLICKLINE UNIT,,,N: SLICKLINE (1),,,LAIN-LAIN,,,SOIL BORING,,,"N: SLICKLINE
(2)",,,DEBRIS SURVEY,,,"STORK
(WLI)",,,-,,,-,,,-,,
DATE,,FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",,,DATE,,FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB",FUEL,DAYRATE,"MOB /
DEMOB"
2025-11-25 00:00:00,,0,0,0,0,0,0,3866.4829803570283,5267.451532407704,0,824.601701964297,815.7911574636893,0,0,0,0,0,0,0,0,0,0,598.4734574615564,466.4139313669034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-11-25 00:00:00,,0,0,0,0,0,0,60429262.5,82325000,0,12887700,12750000,0,0,0,0,0,0,0,0,0,0,9353541.666666666,7289583.333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-26 00:00:00,,0,0,0,0,0,0,4960.182459956917,5352.2298291637335,0,537.6788875381236,543.8607716424596,0,0,0,0,0,0,0,0,0,0,919.0571746966111,698.1679356751338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-11-26 00:00:00,,0,0,0,0,0,0,77522691.66666666,83650000,0,8403383.333333334,8500000,0,0,0,0,0,0,0,0,0,0,14363944.583333334,10911666.666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-27 00:00:00,,0,0,0,0,0,0,1292.7715571480367,1837.7517577722324,0,472.57875317252115,543.8607716424596,0,0,0,0,7362.515196109795,4446.861603429522,0,0,0,0,661.1911795024918,687.8239170772282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-11-27 00:00:00,,0,0,0,0,0,0,20204726.666666664,28722222.222222224,0,7385933.333333333,8500000,0,0,0,0,115068750,69500000,0,0,0,0,10333756.944444444,10749999.999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-28 00:00:00,,0,0,0,0,0,0,2039.1569711996947,5480.322970309619,0,610.9256786826879,631.0000635768326,0,0,0,0,0,0,0,0,0,0,733.3675058808569,830.4723758662343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-11-28 00:00:00,,0,0,0,0,0,0,32073900,86200000,0,9609250,9925000,0,0,0,0,0,0,0,0,0,0,11535137.5,13062500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-29 00:00:00,,0,0,0,0,0,0,1764.6129441624366,4977.7918781725875,0,434.15080372250424,539.3401015228427,0,0,0,0,0,0,0,0,0,0,528.4274534686971,552.5592216582064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-11-29 00:00:00,,0,0,0,0,0,0,27810300,78450000,0,6842216.666666667,8500000,0,0,0,0,0,0,0,0,0,0,8328016.666666666,8708333.333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 00:00:00,,0,0,0,0,0,0,2640.338164251207,4986.651411136538,0,602.5966183574878,540.3000254258835,0,0,0,0,0,0,0,0,0,0,586.171497584541,541.094584286804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-11-30 00:00:00,,0,0,0,0,0,0,41537800,78450000,0,9480050,8500000,0,0,0,0,0,0,0,0,0,0,9221650,8512500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-01 00:00:00,,0,0,0,0,0,0,11193.425660617637,5745.162545544589,0,464.1218295659556,541.2289079910856,0,0,0,0,0,0,0,0,0,0,699.0106653931869,542.0248328557784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-12-01 00:00:00,,0,0,0,0,0,0,175792750,90227777.77777779,0,7289033.333333333,8500000,0,0,0,0,0,0,0,0,0,0,10977962.5,8512500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
