,,,Biaya Sewa dan Biaya BBM Kapal,,,,,,,,,,
,,,Periode : 2023,,,,,,,,,,
,,,,,,,Today:,,,,,,
Anggaran Sewa - in IDR,,,,,,,,,,2025-11-25 00:00:00,,,
Area,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,TOTAL
 Drilling,,,,,,,,,,,,,
 Prod. North Attaka,,,,,,,,,,,,,
 Prod. North NIB,,,,,,,,,,,,,
 Prod. North Santan,,,,,,,,,,,,,
 Security Patrol-North,,,,,,,,,,,,,
 Security Patrol-South,,,,,,,,,,,,,
 Prod. South,,,,,,,,,,,,,
 FE&C,,,,,,,,,,,,,
 Logistics MLS,,,,,,,,,,,,,
TOTAL,0,0,0,,0,0,0,0,0,0,0,0,0
Anggaran BBM - in IDR,,,,,,,,,,,,,
Area,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,TOTAL
 Drilling,,,,,,,,,,,,,
 Prod. North Attaka,,,,,,,,,,,,,
 Prod. North NIB,,,,,,,,,,,,,
 Prod. North Santan,,,,,,,,,,,,,
 Security Patrol-North,,,,,,,,,,,,,
 Security Patrol-South,,,,,,,,,,,,,
 Prod. South,,,,,,,,,,,,,
 FE&C,,,,,,,,,,,,,
 Logistics MLS,,,,,,,,,,,,,
TOTAL,,,,,,0,0,0,0,0,0,0,0
Anggaran Sewa - in USD,,,,,,,,,,,,,
Area,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,TOTAL
 Drilling,0,,,,,,,,,,,,
 Prod. North Attaka,0,,,,,,,,,,,,
 Prod. North NIB,0,,,,,,,,,,,,
 Prod. North Santan,0,,,,,,,,,,,,
 Security Patrol-North,0,,,,,,,,,,,,
 Security Patrol-South,0,,,,,,,,,,,,
 Prod. South,0,,,,,,,,,,,,
 FE&C,0,,,,,,,,,,,,
 Logistics MLS,0,,,,,,,,,,,,
TOTAL,,,,,,0,0,0,0,0,0,0,0
Anggaran BBM - in USD,,,,,,,,,,,,,
Area,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,TOTAL
 Drilling,0,,,,,,,,,,,,
 Prod. North Attaka,0,,,,,,,,,,,,
 Prod. North NIB,0,,,,,,,,,,,,
 Prod. North Santan,0,,,,,,,,,,,,
 Security Patrol-North,0,,,,,,,,,,,,
 Security Patrol-South,0,,,,,,,,,,,,
 Prod. South,0,,,,,,,,,,,,
 FE&C,0,,,,,,,,,,,,
 Logistics MLS,0,,,,,,,,,,,,
TOTAL,,,,,,0,0,0,0,0,0,0,0
Anggaran BBM - in LITERS,,,,,,,,,,,,,
Area,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,TOTAL
 Drilling,0,,,,,,0,,,,,,0
 Prod. North Attaka,0,,,,,,0,,,,,,0
 Prod. North NIB,0,,,,,,0,,,,,,0
 Prod. North Santan,0,,,,,,0,,,,,,0
 Security Patrol-North,0,,,,,,0,,,,,,0
 Security Patrol-South,0,,,,,,0,,,,,,0
 Prod. South,0,,,,,,0,,,,,,0
 FE&C,0,,,,,,0,,,,,,0
 Logistics MLS,0,,,,,,0,,,,,,0
TOTAL,,,,,,0,0,0,0,0,0,0,0
