,,"OPERATION
(PRODUCTION SOUTH, NORTH, ATTAKA, NIB AND LOGISTICS)",,,,,,,,,,"OPERATION
(PRODUCTION SOUTH, NORTH, ATTAKA, NIB AND LOGISTICS)",,,,,
DATE,,Actual Vessel Fuel (Liters),Budget Vessel Fuel (Liters),Actual Vessel Fuel (USD),Budget Vessel Fuel (USD),Actual Vessel Charter (USD),Budget Vessel Charter (USD),,,DATE,,Actual Vessel Fuel (Liters),Budget Vessel Fuel (Liters),Actual Vessel Fuel (IDR),Budget Vessel Fuel (IDR),Actual Vessel Charter (IDR),Budget Vessel Charter (IDR)
2025-11-25 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.9835616438,,,2025-11-25 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-11-26 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.9835616438,,,2025-11-26 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-11-27 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.9835616438,,,2025-11-27 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-11-28 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.9835616438,,,2025-11-28 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-11-29 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.9835616438,,,2025-11-29 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-11-30 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.9835616438,,,2025-11-30 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-01 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-01 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-02 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-02 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-03 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-03 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-04 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-04 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-05 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-05 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-06 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-06 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-07 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-07 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-08 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-08 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-09 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-09 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-10 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-10 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-11 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-11 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-12 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-12 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-13 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-13 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-14 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-14 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-15 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-15 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-16 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-16 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-17 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-17 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-18 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-18 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-19 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-19 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-20 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-20 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-21 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-21 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-22 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-22 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-23 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-23 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
2025-12-24 00:00:00,,0,23022.80568239472,0,12432.315068493152,0,14597.983561643836,,,2025-12-24 00:00:00,,0,23022.80568239472,0,193944115.06849316,0,227728543.56164384
-,,0,,0,,0,,,,-,,0,,0,,0,
SUM,,0,690684.1704718418,0,372969.45205479447,0,437939.50684931525,,,Jumlah,,0,690684.1704718418,0,5818323452.054795,0,6831856306.849311
This Month Daily AVG,,0,23022.805682394726,0,12432.31506849315,0,14597.983561643841,,,Rata-rata perhari,,0,23022.805682394726,0,193944115.0684932,0,227728543.5616437
,,BBM (ltr),,"BBM
(USD)",,"CHARTER
(USD)",,,,,,BBM (ltr),,"BBM
(IDR)",,"CHARTER
(IDR)",
Difference,,690684.1704718418,,372969.45205479447,,437939.50684931525,,,,Selisih,,690684.1704718418,,5818323452.054795,,6831856306.849311,
