,,P_NORTH SANTAN TERMINAL,,,,,,,,,,,P_NORTH SANTAN TERMINAL,,,,,
DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (USD),Budget Vessel Fuel (USD),Actual Vessel Charter (USD),Budget Vessel Charter (USD),,,,DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (IDR),Budget Vessel Fuel (IDR),Actual Vessel Charter (IDR),Budget Vessel Charter (IDR)
2022-12-25 00:00:00,,,,,,,,,,,2022-12-25 00:00:00,,,,,,,
2022-12-26 00:00:00,,,,,,,,,,,2022-12-26 00:00:00,,,,,,,
2022-12-27 00:00:00,,,,,,,,,,,2022-12-27 00:00:00,,,,,,,
2022-12-28 00:00:00,,,,,,,,,,,2022-12-28 00:00:00,,,,,,,
2022-12-29 00:00:00,,,,,,,,,,,2022-12-29 00:00:00,,,,,,,
2022-12-30 00:00:00,,,,,,,,,,,2022-12-30 00:00:00,,,,,,,
2022-12-31 00:00:00,,,,,,,,,,,2022-12-31 00:00:00,,,,,,,
2023-01-01 00:00:00,,,,,,,,,,,2023-01-01 00:00:00,,,,,,,
2023-01-02 00:00:00,,,,,,,,,,,2023-01-02 00:00:00,,,,,,,
2023-01-03 00:00:00,,,,,,,,,,,2023-01-03 00:00:00,,,,,,,
2023-01-04 00:00:00,,,,,,,,,,,2023-01-04 00:00:00,,,,,,,
2023-01-05 00:00:00,,,,,,,,,,,2023-01-05 00:00:00,,,,,,,
2023-01-06 00:00:00,,,,,,,,,,,2023-01-06 00:00:00,,,,,,,
2023-01-07 00:00:00,,,,,,,,,,,2023-01-07 00:00:00,,,,,,,
2023-01-08 00:00:00,,,,,,,,,,,2023-01-08 00:00:00,,,,,,,
2023-01-09 00:00:00,,,,,,,,,,,2023-01-09 00:00:00,,,,,,,
2023-01-10 00:00:00,,,,,,,,,,,2023-01-10 00:00:00,,,,,,,
2023-01-11 00:00:00,,,,,,,,,,,2023-01-11 00:00:00,,,,,,,
2023-01-12 00:00:00,,,,,,,,,,,2023-01-12 00:00:00,,,,,,,
2023-01-13 00:00:00,,,,,,,,,,,2023-01-13 00:00:00,,,,,,,
2023-01-14 00:00:00,,,,,,,,,,,2023-01-14 00:00:00,,,,,,,
2023-01-15 00:00:00,,,,,,,,,,,2023-01-15 00:00:00,,,,,,,
2023-01-16 00:00:00,,,,,,,,,,,2023-01-16 00:00:00,,,,,,,
2023-01-17 00:00:00,,,,,,,,,,,2023-01-17 00:00:00,,,,,,,
2023-01-18 00:00:00,,,,,,,,,,,2023-01-18 00:00:00,,,,,,,
2023-01-19 00:00:00,,,,,,,,,,,2023-01-19 00:00:00,,,,,,,
2023-01-20 00:00:00,,,,,,,,,,,2023-01-20 00:00:00,,,,,,,
2023-01-21 00:00:00,,,,,,,,,,,2023-01-21 00:00:00,,,,,,,
2023-01-22 00:00:00,,,,,,,,,,,2023-01-22 00:00:00,,,,,,,
2023-01-23 00:00:00,,,,,,,,,,,2023-01-23 00:00:00,,,,,,,
2023-01-24 00:00:00,,,,,,,,,,,2023-01-24 00:00:00,,,,,,,
SUM,,0,0,0,0,0,0,,,,Jumlah,0.0,0,0,0,0,0,0
This Month Daily AVG,,,,,,,,,,,Rata-rata perhari,,,,,,,
,,BBM (ltr),,BBM (USD),,Charter (USD),,,,,,,BBM (ltr),,BBM (IDR),,Charter (IDR),
Difference,,0,,0,,0,,,,,Selisih,,0,,0,,0,
