MARINE,,2023 YTD,,,
,,Biaya Sewa Kapal (IDR),Biaya BBM Kapal (IDR),Konsumsi BBM Kapal (liter),Jasa Pendukung Marine (IDR)
,Anggaran,,,,
,Aktual,0,0,0,
,,Vessel Charter Hire (USD),Vesel Fuel Cost (USD),Vessel Fuel Consumption (liter),Other Marine Services (USD)
,Budget,,,0,0
,Actual,0,0,0,
,%,,,,
,% all exclude liter,,,,
MOORING,,2023 YTD,,,
,,Biaya Sewa Kapal (IDR),Biaya BBM Kapal (IDR),Konsumsi BBM Kapal (liter),
,Anggaran,,,,
,Aktual,0,0,0,
,,Vessel Charter Hire (USD),Vesel Fuel Cost (USD),Vessel Fuel Consumption (liter),
,Budget,,,0,
,Actual,0,0,0,
,%,,,,
,% all exclude liter,,,,
SECURITY PATROL,,2023 YTD,,,
,,Biaya Sewa Kapal (IDR),Biaya BBM Kapal (IDR),Konsumsi BBM Kapal (liter),
,Anggaran,,,,
,Aktual,0,0,0,
,,Vessel Charter Hire (USD),Vesel Fuel Cost (USD),Vessel Fuel Consumption (liter),
,Budget,,,0,
,Actual,0,0,0,
,%,,,,
,% all exclude liter,,,,
